WBAN,USAF,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW.1,MW.2,MW.3,AW,AW.1,AW.2,AW.3,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
99999,29980,201705021500,310.00,9.00,,,,,,,28.10,,,,,0.00,,,,,59.00,24.00,1024.50,,1021.40,,,,,,,
99999,29980,201705021600,303.00,12.00,20.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,57.00,24.00,1024.50,,1021.40,,,,,,,0.00
99999,29980,201705021700,301.00,8.00,17.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,56.00,24.00,1024.90,,1021.80,,,,,,,0.00
99999,29980,201705021800,324.00,8.00,15.00,722.00,CLR,,,,31.20,,,,,0.00,,,,0.00,53.00,24.00,1025.60,,1022.50,61.00,49.00,0.00,,,,0.00
99999,29980,201705021900,322.00,7.00,12.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,50.00,25.00,1026.30,,1023.20,,,,,,,0.00
99999,29980,201705022000,331.00,8.00,14.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,49.00,25.00,1027.00,,1023.80,,,,,,,0.00
99999,29980,201705022100,330.00,7.00,,,,,,,31.20,,,,,0.00,,,,,46.00,26.00,1027.60,,1024.50,,,,,,,
99999,29980,201705022200,337.00,9.00,13.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,46.00,25.00,1028.40,,1025.20,,,,,,,0.00
99999,29980,201705022300,331.00,8.00,14.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,44.00,25.00,1028.80,,1025.60,,,,,,,0.00
99999,29980,201705030000,328.00,9.00,13.00,722.00,CLR,,,,31.20,,,,,0.00,,,,0.00,42.00,25.00,1029.40,,1026.20,,,,,,,0.00
99999,29980,201705030100,325.00,8.00,12.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,40.00,25.00,1029.80,,1026.60,,,,,,,0.00
99999,29980,201705030200,312.00,6.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,39.00,26.00,1030.10,,1026.80,,,,,,,0.00
99999,29980,201705030300,320.00,7.00,,,,,,,31.20,,,,,0.00,,,,,39.00,26.00,1030.50,,1027.30,,,,,,,
99999,29980,201705030400,335.00,7.00,13.00,722.00,CLR,,,,30.90,,,,,0.00,,,,,42.00,26.00,1030.70,,1027.50,,,,,,,0.00
99999,29980,201705030500,347.00,10.00,18.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,44.00,25.00,1031.10,,1027.90,,,,,,,0.00
99999,29980,201705030600,345.00,9.00,14.00,722.00,CLR,,,,24.40,,,,,0.00,,,,0.00,47.00,24.00,1031.30,,1028.10,53.00,38.00,0.00,,,,0.00
99999,29980,201705030700,359.00,14.00,22.00,722.00,CLR,,,,27.60,,,,,0.00,,,,,50.00,22.00,1031.50,,1028.30,,,,,,,0.00
99999,29980,201705030800,345.00,16.00,27.00,722.00,CLR,,,,24.50,,,,,0.00,,,,,50.00,22.00,1031.50,,1028.40,,,,,,,0.00
99999,29980,201705030900,340.00,11.00,,,,,,,28.10,,,,,0.00,,,,,53.00,23.00,1031.40,,1028.30,,,,,,,
99999,29980,201705031000,314.00,11.00,20.00,722.00,CLR,,,,25.70,,,,,0.00,,,,,54.00,23.00,1031.40,,1028.30,,,,,,,0.00
99999,29980,201705031100,7.00,12.00,20.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,56.00,22.00,1031.20,,1028.10,,,,,,,0.00
99999,29980,201705031200,350.00,13.00,20.00,722.00,CLR,,,,25.90,,,,,0.00,,,,0.00,56.00,20.00,1031.20,,1028.10,,,,,,,0.00
99999,29980,201705031300,11.00,12.00,19.00,722.00,CLR,,,,28.70,,,,,0.00,,,,,56.00,20.00,1031.10,,1027.90,,,,,,,0.00
99999,29980,201705031400,6.00,11.00,19.00,722.00,CLR,,,,29.70,,,,,0.00,,,,,55.00,22.00,1031.20,,1028.10,,,,,,,0.00
99999,29980,201705031500,20.00,11.00,,,,,,,31.20,,,,,0.00,,,,,54.00,22.00,1031.40,,1028.30,,,,,,,
99999,29980,201705031600,23.00,9.00,16.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,54.00,22.00,1031.60,,1028.40,,,,,,,0.00
99999,29980,201705031700,23.00,11.00,18.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,53.00,22.00,1031.80,,1028.60,,,,,,,0.00
99999,29980,201705031800,22.00,8.00,14.00,722.00,CLR,,,,31.20,,,,,0.00,,,,0.00,51.00,22.00,1032.20,,1029.10,57.00,47.00,0.00,,,,0.00
99999,29980,201705031900,2.00,6.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,49.00,23.00,1032.70,,1029.60,,,,,,,0.00
99999,29980,201705032000,27.00,7.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,48.00,24.00,1033.20,,1030.00,,,,,,,0.00
99999,29980,201705032100,40.00,7.00,,,,,,,31.20,,,,,0.00,,,,,46.00,24.00,1033.60,,1030.40,,,,,,,
99999,29980,201705032200,30.00,11.00,16.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,45.00,24.00,1034.10,,1030.90,,,,,,,0.00
99999,29980,201705032300,23.00,10.00,13.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,43.00,24.00,1034.40,,1031.20,,,,,,,0.00
99999,29980,201705040000,22.00,9.00,13.00,722.00,CLR,,,,31.20,,,,,0.00,,,,0.00,41.00,25.00,1034.90,,1031.70,,,,,,,0.00
99999,29980,201705040100,24.00,9.00,13.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,40.00,25.00,1035.50,,1032.20,,,,,,,0.00
99999,29980,201705040200,9.00,6.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,38.00,25.00,1035.90,,1032.70,,,,,,,0.00
99999,29980,201705040300,20.00,7.00,,,,,,,31.20,,,,,0.00,,,,,38.00,25.00,1036.10,,1032.90,,,,,,,
99999,29980,201705040400,27.00,8.00,13.00,722.00,CLR,,,,27.50,,,,,0.00,,,,,40.00,25.00,1036.30,,1033.10,,,,,,,0.00
99999,29980,201705040500,30.00,9.00,15.00,722.00,CLR,,,,26.70,,,,,0.00,,,,,43.00,24.00,1036.40,,1033.20,,,,,,,0.00
99999,29980,201705040600,36.00,9.00,17.00,722.00,CLR,,,,25.80,,,,,0.00,,,,0.00,45.00,24.00,1036.20,,1033.00,51.00,37.00,0.00,,,,0.00
99999,29980,201705040700,355.00,7.00,12.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,47.00,24.00,1036.10,,1032.90,,,,,,,0.00
99999,29980,201705040800,48.00,6.00,12.00,722.00,SCT,,,,24.70,,,,,0.00,,,,,48.00,24.00,1035.90,,1032.80,,,,,,,0.00
99999,29980,201705040900,40.00,9.00,,,,,,,28.10,,,,,0.00,,,,,49.00,23.00,1035.50,,1032.30,,,,,,,
99999,29980,201705041000,132.00,5.00,12.00,722.00,CLR,,,,24.80,,,,,0.00,,,,,51.00,27.00,1035.10,,1032.00,,,,,,,0.00
99999,29980,201705041100,142.00,9.00,13.00,722.00,CLR,,,,23.10,,,,,0.00,,,,,49.00,26.00,1035.00,,1031.80,,,,,,,0.00
99999,29980,201705041200,145.00,11.00,15.00,722.00,CLR,,,,20.10,,,,,0.00,,,,0.00,49.00,26.00,1034.40,,1031.30,,,,,,,0.00
99999,29980,201705041300,168.00,9.00,14.00,722.00,CLR,,,,25.40,,,,,0.00,,,,,51.00,26.00,1033.80,,1030.60,,,,,,,0.00
99999,29980,201705041400,208.00,11.00,15.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,48.00,26.00,1033.40,,1030.20,,,,,,,0.00
99999,29980,201705041500,190.00,11.00,,,,,,,25.00,,,,,0.00,,,,,48.00,25.00,1032.80,,1029.60,,,,,,,
99999,29980,201705041600,188.00,9.00,15.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,47.00,26.00,1032.30,,1029.20,,,,,,,0.00
99999,29980,201705041700,211.00,9.00,15.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,46.00,26.00,1032.00,,1028.80,,,,,,,0.00
99999,29980,201705041800,211.00,8.00,15.00,722.00,CLR,,,,31.20,,,,,0.00,,,,0.00,44.00,29.00,1031.90,,1028.70,52.00,44.00,0.00,,,,0.00
99999,29980,201705041900,220.00,8.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,42.00,29.00,1031.70,,1028.50,,,,,,,0.00
99999,29980,201705042000,243.00,8.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,40.00,29.00,1031.50,,1028.30,,,,,,,0.00
99999,29980,201705042100,230.00,9.00,,,,,,,31.20,,,,,0.00,,,,,39.00,29.00,1031.40,,1028.20,,,,,,,
99999,29980,201705042200,247.00,10.00,13.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,40.00,30.00,1030.90,,1027.70,,,,,,,0.00
99999,29980,201705042300,251.00,7.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,38.00,29.00,1030.40,,1027.20,,,,,,,0.00
99999,29980,201705050000,242.00,8.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,0.00,37.00,30.00,1030.10,,1026.80,,,,,,,0.00
99999,29980,201705050100,247.00,8.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,37.00,31.00,1029.70,,1026.50,,,,,,,0.00
99999,29980,201705050200,238.00,8.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,36.00,31.00,1029.10,,1025.80,,,,,,,0.00
99999,29980,201705050300,240.00,7.00,,,,,,,31.20,,,,,0.00,,,,,35.00,30.00,1028.40,,1025.20,,,,,,,
99999,29980,201705050400,271.00,8.00,12.00,722.00,CLR,,,,23.80,,,,,0.00,,,,,38.00,31.00,1028.60,,1025.40,,,,,,,0.00
